artistDisplayName	artistBeginDate	artistEndDate	LifeSpan	objectYear	objectLength	objectBeginDate 	objectEndDate 
Giotto di Bondone	1266	1337	71	49	10	1315	1325
Bernardo Daddi	1290	1348	58	30	10	1320	1330
Bernardo Daddi	1290	1348	58	43	10	1333	1343
Bernardo Daddi	1290	1348	58	37	21	1327	1348
Bernardo Daddi	1290	1348	58	37	21	1327	1348
Lippo di Benivieni	1296	1327	31	0	31	1296	1327
Segna di Buonaventura	1298	1331	33	8	10	1306	1316
Segna di Buonaventura	1298	1331	33	17	10	1315	1325
Segna di Buonaventura	1298	1331	33	17	10	1315	1325
Pacino di Bonaguida	1280	1340	60	23	17	1303	1320
Lippo Memmi (Filippo di Memmo)	1291	1356	65	54	10	1345	1355
Lippo Memmi (Filippo di Memmo)	1291	1356	65	34	10	1325	1335
Lippo Memmi (Filippo di Memmo)	1291	1356	65	34	10	1325	1335
Taddeo Gaddi	1290	1366	76	45	10	1335	1345
Guariento di Arpo	1310	1370	60	28	32	1338	1370
Lippo Vanni (Lippo Vanni di Giovanni)	1315	1375	60	26	34	1341	1375
Spinello Aretino (Spinello di Luca Spinelli)	1345	1410	65	50	5	1395	1400
Luca di Tommè di Nuto	1356	1389	33	4	5	1360	1365
Taddeo di Bartolo	1362	1422	60	33	10	1395	1405
Giovanni di Bartolomeo Cristiani	1340	1398	58	27	31	1367	1398
Cenni di Francesco di Ser Cenni	1369	1415	46	6	10	1375	1385
Paolo di Giovanni Fei	1345	1411	66	25	9	1370	1379
Lorenzo Monaco (Piero di Giovanni)	1370	1425	55	38	2	1408	1410
Lorenzo Monaco (Piero di Giovanni)	1370	1425	55	38	2	1408	1410
Lorenzo Monaco (Piero di Giovanni)	1370	1425	55	38	2	1408	1410
Lorenzo Monaco (Piero di Giovanni)	1370	1425	55	38	2	1408	1410
Bicci di Lorenzo	1373	1452	79	60	2	1433	1435
Bicci di Lorenzo	1373	1452	79	60	2	1433	1435
Michelino da Besozzo (Michelino de Mulinari)	1388	1455	67	37	10	1425	1435
